favwin,favscr,undscr,spread,favhome,fregion,uregion
1,93,64,11,1,3,3
1,65,60,20,1,1,1
1,67,61,3,1,2,4
1,95,68,27,1,1,4
1,69,66,2.5,0,3,3
1,86,84,15,0,2,2
1,92,49,28,1,3,3
1,78,63,8,0,4,1
0,75,78,6,0,4,4
0,69,72,10.5,0,4,3
1,74,64,3.5,1,4,2
0,52,56,1,1,3,2
1,107,88,14,1,2,2
0,91,100,1.5,0,4,3
1,94,67,14,1,2,2
1,71,54,13.5,1,3,3
0,52,78,10.5,1,3,3
1,83,62,1.5,1,3,2
1,88,67,18,0,3,3
1,88,56,16,1,2,2
0,65,68,8.5,1,3,2
1,91,71,11,1,2,2
1,91,65,22,1,1,1
0,44,51,3,0,4,3
1,76,63,10,1,4,3
1,95,83,15,0,4,4
0,61,67,10,0,4,3
1,80,58,10,1,2,3
1,82,63,18,1,4,4
1,67,58,15,0,3,3
1,99,82,7,0,4,4
1,73,60,1,1,3,3
1,95,82,15,1,1,1
1,94,83,14,1,3,3
1,72,65,13.5,1,3,3
1,70,55,9,1,2,2
0,82,83,3.5,1,2,3
1,77,71,8,1,3,4
0,52,59,13.5,1,3,3
1,71,59,4,1,2,2
0,51,53,3.5,1,4,3
1,87,60,10,1,1,1
1,92,55,18.5,1,1,3
1,85,71,13.5,1,3,3
1,90,61,18.5,1,4,4
0,70,76,1.5,0,3,3
1,79,69,2,1,2,2
0,69,78,7.5,1,3,3
1,65,60,8,1,3,3
1,86,73,1,1,4,4
0,52,69,4.5,0,4,4
1,67,50,7.5,1,4,4
1,96,73,24,1,3,3
0,67,78,6.5,0,4,4
1,75,57,13,0,3,3
1,65,55,10.5,1,3,4
1,67,58,5.5,1,3,4
0,54,64,4,1,3,2
1,67,61,4.5,0,3,2
1,72,58,15,1,3,3
1,100,76,11,1,4,4
1,68,48,14,0,3,3
1,79,64,9,1,2,4
0,72,73,2,0,3,3
1,111,99,18,1,2,2
1,100,86,1,0,2,2
1,69,67,1,1,3,4
0,56,59,1,0,2,2
1,79,64,1.5,0,3,3
1,116,77,27,1,2,3
1,77,70,4,1,4,3
1,88,87,11,1,2,3
1,84,73,12.5,1,1,1
1,100,81,6,1,1,1
1,84,77,1.5,0,3,4
1,54,50,1,0,2,2
1,101,71,28,1,4,2
1,83,63,12,1,4,4
0,53,68,2,1,4,3
1,62,44,1,0,4,3
1,74,48,10,1,3,3
0,63,76,3,1,2,4
1,80,65,14.5,1,4,3
1,93,76,14,1,2,2
1,72,69,8,1,2,2
1,104,97,2.5,1,3,2
1,88,78,15,1,3,3
1,98,88,6,0,2,2
1,97,94,4,0,2,3
0,79,81,1,0,2,2
1,79,70,4,1,1,1
0,61,62,4,1,4,4
1,71,56,14.5,1,3,3
1,70,65,1,1,3,3
1,98,83,5,0,1,1
1,107,86,12.5,1,1,1
0,66,68,2,0,4,3
1,71,70,5.5,1,4,4
1,83,74,3,0,1,4
1,74,66,3,0,3,2
1,70,66,11,1,3,3
1,62,60,4.5,1,2,2
1,70,59,2.5,1,3,3
1,76,55,7.5,1,3,3
1,94,63,18.5,0,4,2
1,88,56,3.5,0,2,2
1,69,67,7.5,1,4,4
0,75,79,6,1,1,1
1,84,54,19.5,1,3,3
1,61,47,14,1,3,3
1,89,62,9.5,1,3,3
1,64,58,2.5,1,4,4
1,65,43,4.5,1,3,3
1,73,64,7.5,1,3,3
1,86,77,1,1,4,3
0,73,87,1,0,4,4
1,80,78,1,0,3,3
1,86,62,5,1,4,4
0,80,86,2,1,3,2
1,70,48,15,1,3,3
0,69,71,2.5,1,2,2
1,68,58,8,1,3,3
0,70,74,8.5,1,2,2
1,102,90,1,1,3,2
1,70,56,16,0,3,3
1,71,51,8.5,1,3,4
0,69,75,4,1,2,2
1,98,72,19,1,2,2
0,78,82,1,0,3,2
1,83,77,1.5,1,3,3
1,91,65,24,1,2,2
1,84,75,7.5,1,4,4
1,63,54,1,1,4,4
1,76,60,2,1,3,3
1,94,84,18.5,1,3,3
0,63,65,4.5,1,4,4
1,70,68,2.5,1,4,4
1,64,54,12,0,4,4
1,72,65,3,0,4,4
1,88,81,9,1,4,4
1,83,69,20.5,1,1,1
0,72,73,9,1,1,1
1,93,90,11,1,3,3
0,53,55,3,1,3,3
1,77,76,9.5,1,1,1
1,72,67,4,0,3,3
0,58,63,3,1,4,4
1,74,72,7.5,0,3,2
1,70,59,20.5,1,3,3
0,63,72,2.5,0,4,4
0,57,63,3.5,0,4,4
1,90,78,14,1,1,1
1,90,70,4,1,2,2
1,73,67,5.5,1,2,3
1,96,87,4,1,2,2
0,64,97,1,0,2,3
1,104,88,3,0,1,1
1,81,50,14,1,3,2
0,47,50,13.5,1,2,2
1,103,101,4,1,4,4
1,97,76,9.5,1,1,1
1,82,44,17,1,1,1
1,96,79,11.5,1,3,3
0,63,89,1,1,1,1
0,71,77,4.5,1,4,3
1,72,53,18,1,3,3
0,61,87,17,1,1,2
1,64,61,10,1,4,4
1,95,74,12.5,1,1,1
1,76,61,16,1,4,4
1,82,81,5,1,3,3
1,76,68,8,0,3,3
1,82,71,8,1,2,2
0,60,71,4.5,1,3,3
1,73,61,1,1,1,1
0,72,76,1.5,0,3,4
0,66,69,2,1,3,3
1,66,56,12.5,1,3,3
1,73,60,7.5,1,3,4
0,67,73,5,0,4,4
1,88,69,15,1,2,2
1,71,60,8.5,0,3,3
1,67,66,1,1,2,3
1,80,51,18.5,1,4,3
1,89,78,2,1,2,3
0,60,75,4,1,2,2
0,58,65,10.5,1,4,4
1,65,63,4.5,0,3,3
1,81,76,7,1,4,4
1,84,68,18,1,4,3
1,77,58,5,0,4,4
1,83,60,21,0,3,3
1,46,42,9.5,0,3,3
1,65,61,10,1,3,3
0,74,80,13,1,2,2
1,80,78,8.5,0,4,3
1,78,53,22,0,3,3
1,82,74,1,1,2,2
1,60,55,9,0,4,4
1,97,56,20,0,4,4
1,56,48,3.5,1,4,4
1,57,47,15,0,4,4
1,70,69,3,1,3,3
0,63,73,10,0,1,1
1,75,66,6.5,1,2,3
0,76,80,8,1,4,4
1,63,51,21,1,2,3
0,77,80,8.5,1,4,4
1,56,52,13.5,1,2,2
1,72,48,5,0,3,3
1,109,75,23.5,1,2,2
1,85,80,1.5,1,2,2
1,74,68,6.5,1,2,3
0,89,92,1,1,4,4
0,59,74,1,1,4,2
1,74,70,10,1,4,4
1,74,64,9,1,4,3
1,86,80,16,1,3,3
1,75,71,1.5,1,3,3
0,72,78,1,0,1,1
0,70,71,2,0,1,1
1,76,72,7,1,4,4
1,80,73,5.5,1,1,2
1,81,66,5,0,3,3
0,65,73,13,0,2,3
1,78,68,2.5,0,2,3
1,77,74,5,0,4,4
0,70,72,9,0,4,4
1,116,94,5,1,4,4
1,86,73,10,0,3,2
1,66,64,10,1,3,2
1,90,75,11,0,2,2
1,81,73,15,1,3,2
1,77,49,10.5,1,2,2
0,82,87,1,0,3,3
1,86,70,4.5,1,3,2
0,78,97,2,1,4,4
1,66,55,6.5,1,4,3
0,78,82,6.5,1,3,3
1,83,63,6,0,4,3
1,88,72,7,1,3,3
1,92,75,16,0,3,2
1,78,47,12.5,1,3,3
1,86,71,20,1,4,4
1,76,68,2,1,3,4
1,78,70,9.5,1,2,3
0,76,88,2,1,4,4
0,70,79,9,1,4,4
1,91,87,1,1,4,4
1,92,68,13,1,4,4
0,64,73,4.5,0,4,4
1,87,60,23,1,3,3
1,96,82,23,1,2,2
1,63,62,5.5,0,4,4
1,94,85,1,0,2,3
1,93,63,15,1,3,3
1,94,92,2,0,4,4
1,63,36,10,1,3,3
1,75,60,8.5,1,3,3
1,74,58,19.5,1,3,3
1,61,54,5.5,0,3,3
1,62,45,1.5,1,3,4
1,96,92,8,1,4,4
1,75,63,5,0,3,3
1,68,52,3,0,3,3
1,97,74,6.5,0,3,3
0,68,71,7,1,2,2
1,75,73,1,1,2,2
0,62,69,7.5,1,2,3
1,81,64,24,1,3,3
1,75,68,15,1,4,3
1,92,85,3,1,3,2
1,67,64,8.5,1,2,2
0,69,76,2.5,0,3,3
1,77,61,8.5,1,2,3
1,69,50,14,1,3,3
0,76,81,4.5,0,2,2
0,78,82,3,0,4,4
